id,name,code,user_type_id/id,chart_template_id/id,tag_ids/id,reconcile
rs_223,"Receivables for prepaid income tax",223,account.data_account_type_current_assets,l10n_rs.l10n_rs_chart_template,,False
rs_224,"Receivables for other taxes and contributions prepaid",224,account.data_account_type_current_assets,l10n_rs.l10n_rs_chart_template,,False
rs_225,"Receivables for refunding wages and salaries",225,account.data_account_type_current_assets,l10n_rs.l10n_rs_chart_template,,False
rs_226,"Receivables for damages",226,account.data_account_type_current_assets,l10n_rs.l10n_rs_chart_template,,False
rs_228,"Other receivables",228,account.data_account_type_current_assets,l10n_rs.l10n_rs_chart_template,,False
rs_229,"Provisions for other receivables",229,account.data_account_type_current_assets,l10n_rs.l10n_rs_chart_template,,False
rs_230,"Short-term loans and investments in parent companies and subsidiaries",230,account.data_account_type_current_assets,l10n_rs.l10n_rs_chart_template,,False
rs_231,"Short-term loans and investments in other associated companies",231,account.data_account_type_current_assets,l10n_rs.l10n_rs_chart_template,,False
rs_232,"Short term loans - domestic",232,account.data_account_type_current_assets,l10n_rs.l10n_rs_chart_template,,False
rs_233,"Short term loans - foreign",233,account.data_account_type_current_assets,l10n_rs.l10n_rs_chart_template,,False
rs_234,"Current portions of long term loan due within one year",234,account.data_account_type_current_assets,l10n_rs.l10n_rs_chart_template,,False
rs_235,"Current portions of securities held to maturity",235,account.data_account_type_current_assets,l10n_rs.l10n_rs_chart_template,,False
rs_236,"Financial instrument valued at fair value ",236,account.data_account_type_current_assets,l10n_rs.l10n_rs_chart_template,,False
rs_237,"Bought up own shares",237,account.data_account_type_current_assets,l10n_rs.l10n_rs_chart_template,,False
rs_238,"Other short-term investments",238,account.data_account_type_current_assets,l10n_rs.l10n_rs_chart_template,,False
rs_239,"Provisions for short - term investments",239,account.data_account_type_current_assets,l10n_rs.l10n_rs_chart_template,,False
rs_240,"Securities - cash equivalents",240,account.data_account_type_current_assets,l10n_rs.l10n_rs_chart_template,,False
rs_241,"Bank accounts - Dinars",241,account.data_account_type_liquidity,l10n_rs.l10n_rs_chart_template,,False
rs_242,"Cash allocated for payments and open letters of credit",242,account.data_account_type_liquidity,l10n_rs.l10n_rs_chart_template,,False
rs_243,"Cash in hand",243,account.data_account_type_liquidity,l10n_rs.l10n_rs_chart_template,,False
rs_244,"Bank accounts - foreign currency",244,account.data_account_type_liquidity,l10n_rs.l10n_rs_chart_template,,False
rs_245,"open letters of credit in foreign currency",245,account.data_account_type_liquidity,l10n_rs.l10n_rs_chart_template,,False
rs_246,"Cash in hand - foreign currency",246,account.data_account_type_liquidity,l10n_rs.l10n_rs_chart_template,,False
